eng,count,total_diff,none,lex,phon,unsure
a,151,1,0,1,0,0
afraid,8,8,0,8,0,0
after,2,2,0,1,0,0
aha,12,8,0,4,0,0
ahead,10,7,0,2,0,0
all,13,13,0,0,13,0
amazing,1,1,0,1,0,0
an,3,0,3,0,0,0
and,146,98,0,2,0,0
any,2,2,0,0,2,0
are,34,10,0,2,0,0
as,15,0,15,0,0,0
at,17,2,0,2,0,0
away,6,6,0,0,6,0
back,8,0,8,0,0,0
bad,22,22,0,22,0,0
be,5,0,5,0,0,0
because,1,0,1,0,0,0
beckon,1,0,1,0,0,0
beckoned,1,0,1,0,0,0
before,2,2,0,0,2,0
beginning,2,2,0,2,0,0
behind,3,3,0,3,0,0
believe,3,0,3,0,0,0
big,35,33,0,33,0,0
black,8,2,6,0,2,0
blew,2,2,0,0,0,2
bored,6,2,0,2,0,0
boulder,3,3,0,3,0,0
brave,5,4,0,3,0,0
bread,1,1,0,0,1,0
breakfast,2,2,0,2,0,0
bright,3,3,0,0,3,0
brown,10,10,0,0,10,0
but,23,2,21,0,2,0
by,10,4,0,1,0,0
cake,3,0,3,0,0,0
call,3,3,0,1,0,0
came,3,3,0,1,0,0
can,1,0,1,0,0,0
can't,2,2,0,0,2,0
carries,2,1,1,0,1,0
cave,2,0,2,0,0,0
child,30,30,0,30,0,0
claw,1,1,0,1,0,0
claws,5,3,2,0,3,0
come,7,3,0,3,0,0
comes,4,1,3,0,1,0
could,6,0,6,0,0,0
cream,2,0,2,0,0,0
creature,13,13,0,4,0,0
crumble,4,2,2,0,2,0
crumbs,3,3,0,3,0,0
dad,2,2,0,1,0,0
dark,19,19,0,8,0,0
dear,1,1,0,1,0,0
deep,19,7,12,0,7,0
didn't,5,5,0,1,0,0
discover,1,1,0,1,0,0
does,3,2,1,0,2,0
doesn't,3,3,0,1,2,0
don't,6,6,0,6,0,0
down,8,8,0,0,8,0
drinking,1,1,0,0,1,0
ears,1,1,0,1,0,0
eat,1,1,0,0,1,0
eating,5,5,0,0,5,0
end,6,2,4,0,2,0
enormous,1,1,0,1,0,0
everyone,8,8,0,8,0,0
exist,1,0,1,0,0,0
eyes,20,20,0,13,0,0
face,4,0,4,0,0,0
fast,3,3,0,0,3,0
favourite,16,5,11,0,5,0
feast,3,3,0,3,0,0
feeling,2,2,0,0,2,0
feet,2,0,2,0,0,0
fell,1,0,1,0,0,0
fiery,1,1,0,0,0,1
fire,2,1,1,0,1,0
fist,2,1,0,1,0,0
fled,1,1,0,1,0,0
flew,10,3,0,2,0,1
follow,1,1,0,0,1,0
food,11,1,0,1,0,0
foot,2,1,1,0,1,0
footprints,3,3,0,0,3,0
for,1,0,1,0,0,0
found,4,4,0,1,0,0
fox,36,29,0,29,0,0
friend,4,4,0,0,4,0
frightfully,1,1,0,1,0,0
from,1,1,0,0,1,0
further,3,1,2,0,0,1
gleamed,3,2,0,2,0,0
go,7,7,0,7,0,0
going,16,16,0,4,0,2
good,35,28,0,5,0,0
goodbye,5,5,0,5,0,0
ground,2,2,0,0,2,0
gruffal,3,0,3,0,0,0
gruffalo,131,0,131,0,0,0
gruffalo's,30,0,30,0,0,0
happens,3,0,3,0,0,0
has,11,2,0,2,0,0
have,13,13,0,2,0,1
having,2,2,0,0,2,0
hazel,5,0,5,0,0,0
he,62,12,50,0,12,0
